,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
17031020901,2151,5004,2513,2491,3612,3461,230,30.7,34.7,1343,23.1,732,26.9,854,12.7,403,28.2,22.7,49.0,25.1,32.9,0.0,0.0,1695,4.0,5.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
17031020902,1703,4155,2209,1946,3280,3200,599,37.9,39.3,1323,20.6,601,21.8,635,7.4,216,26.7,17.8,55.6,32.6,37.2,0.0,26779.0,1533,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
17031030101,2490,3613,1754,1859,3382,3358,730,45.0,37.9,1299,25.7,815,36.2,1149,24.9,791,21.0,3.8,75.1,61.3,40.3,0.0,0.0,2200,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17031030102,2114,2880,1338,1542,2696,2689,364,39.8,30.1,817,30.3,773,26.5,677,21.3,542,14.5,7.1,78.4,49.1,35.1,0.0,0.0,1717,1.0,0.0,2.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
17031030103,1208,2347,1125,1222,2213,1839,130,33.1,33.7,762,16.7,264,31.3,494,23.6,372,19.5,17.6,62.9,49.0,36.0,0.0,0.0,1077,0.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
17031030104,1276,3487,1722,1765,3393,1961,209,21.9,9.6,331,25.2,375,33.0,491,15.0,223,39.8,5.5,54.6,49.1,31.3,0.0,0.0,1167,1.0,7.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0
17031030200,2718,4978,2598,2380,4295,4194,551,39.6,36.1,1599,20.4,771,30.7,1159,32.3,1220,10.5,9.2,80.3,37.4,39.6,0.0,0.0,2400,0.0,0.0,0.0,1.0,2.0,8.0,8.0,3.0,8.0,0.0,0.0,2.0,7.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
17031030300,1538,3231,1781,1450,2589,2440,326,35.5,40.2,1105,27.4,624,18.5,420,14.7,334,24.8,17.9,57.4,23.0,31.2,31.2,0.0,1414,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0
17031030400,1358,2632,1333,1299,2129,2042,305,34.0,33.3,734,19.3,360,32.2,602,17.4,324,27.8,11.1,61.1,38.4,35.4,35.4,0.0,1246,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
17031030500,3229,6160,3008,3152,5180,5100,407,35.0,36.9,1932,15.5,769,31.4,1556,26.7,1321,15.7,4.5,79.8,42.4,38.8,38.8,0.0,2871,3.0,0.0,2.0,0.0,2.0,16.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
