,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
53033001900,2207,4723,2297,2426,4043,3912,554,36.2,35.8,1489,31.2,1081,33.8,1171,20.6,715,17.2,5.7,77.0,19.2,24.9,24.9,0.0,2175,3.0,13.0,12.0,1.0,3.0,90.0,7.0,1.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,62.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0
53033002000,1699,3600,1771,1829,3005,2917,426,37.3,46.7,1431,23.0,632,38.9,1071,26.0,714,9.9,4.4,85.6,14.1,25.0,25.0,44676.0,1606,0.0,2.0,7.0,2.0,0.0,16.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0
53033002100,1809,4148,2123,2025,3401,3312,465,38.7,51.8,1798,20.4,651,36.0,1153,30.1,964,5.1,4.5,90.4,15.2,24.5,24.5,0.0,1723,3.0,0.0,5.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
53033002200,2333,5622,2763,2859,4373,4236,976,45.3,61.7,2853,18.0,735,31.0,1270,43.0,1762,2.7,1.5,95.8,15.9,25.4,0.0,0.0,2171,3.0,0.0,2.0,0.0,1.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53033002400,1305,2994,1437,1557,2342,2278,365,42.9,50.7,1232,26.7,589,31.2,689,35.4,781,5.0,3.4,91.5,17.5,26.3,0.0,0.0,1247,7.0,2.0,7.0,0.0,0.0,24.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,34.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0
53033002500,1287,2981,1397,1584,2358,2313,320,38.4,56.1,1346,22.5,506,39.6,888,30.9,693,4.6,8.0,87.4,18.6,26.7,26.7,64318.0,1266,0.0,9.0,8.0,0.0,0.0,16.0,3.0,1.0,7.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
53033002600,2052,4989,2698,2291,4011,3942,461,36.0,52.0,2132,20.2,724,41.4,1486,29.7,1064,12.2,4.7,83.1,22.4,24.2,24.2,0.0,1919,1.0,15.0,24.0,0.0,3.0,28.0,2.0,5.0,2.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,3.0,7.0,5.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,6.0,37.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0
53033002700,2420,6027,2994,3033,5005,4912,541,35.2,44.7,2264,20.3,908,38.6,1729,31.3,1403,8.5,3.6,87.9,24.1,27.0,0.0,0.0,2319,0.0,11.0,22.0,0.0,0.0,72.0,6.0,3.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,9.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,52.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
53033002800,2266,4727,2174,2553,3868,3792,323,36.0,48.2,1890,20.9,747,48.5,1732,23.8,851,9.5,2.5,88.0,22.1,31.1,0.0,0.0,2032,1.0,2.0,35.0,0.0,0.0,50.0,2.0,6.0,8.0,0.0,2.0,0.0,7.0,2.0,0.0,2.0,4.0,11.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,11.0,0.0,0.0,5.0,1.0,0.0,0.0
53033002900,1937,4303,2155,2148,3429,3352,361,40.2,52.4,1863,18.3,595,37.7,1224,31.9,1037,4.1,3.7,92.1,17.3,26.5,0.0,0.0,1878,3.0,7.0,42.0,0.0,3.0,24.0,3.0,1.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,11.0,14.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,19.0,0.0,7.0,1.0,0.0,1.0,2.0,6.0,0.0
