,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6075012202,1713,3295,2163,1132,3043,2948,302,36.6,15.2,467,24.0,663,29.3,809,13.0,358,29.7,11.7,58.7,32.1,24.2,0.0,0.0,1616,6.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
6075012301,1640,1996,1199,797,1786,1721,515,44.8,19.5,360,29.7,464,19.7,308,3.8,60,42.7,25.1,32.2,47.9,25.4,0.0,0.0,1300,0.0,0.0,7.0,4.0,1.0,6.0,0.0,6.0,1.0,2.0,23.0,4.0,5.0,2.0,0.0,0.0,2.0,19.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0
6075012302,2250,2468,1413,1055,2422,2360,173,35.8,15.8,383,24.7,529,34.3,735,21.8,468,26.9,6.3,66.8,33.4,29.3,0.0,0.0,1796,2.0,0.0,3.0,3.0,1.0,8.0,0.0,7.0,2.0,3.0,31.0,5.0,2.0,4.0,0.0,0.0,6.0,27.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,37.0,4.0,0.0,0.0
6075012401,3052,4787,3002,1785,4147,4035,481,36.4,30.2,1267,21.6,788,18.4,671,3.3,119,27.6,22.7,49.7,54.9,22.5,0.0,0.0,2548,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,17.0,3.0,2.0,4.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0
6075012402,2437,3600,1992,1608,3397,3229,464,37.8,24.0,830,22.1,653,32.6,964,17.2,510,26.0,13.4,60.6,57.1,26.8,0.0,0.0,2252,6.0,0.0,28.0,4.0,2.0,22.0,15.0,12.0,1.0,0.0,10.0,3.0,11.0,9.0,0.0,0.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,2.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0
6075012501,2628,3728,2357,1371,3337,3164,837,50.0,25.4,894,32.4,1018,16.2,509,5.1,159,37.2,29.6,33.2,57.6,25.6,0.0,20328.0,2272,3.0,1.0,4.0,5.0,0.0,8.0,0.0,1.0,5.0,2.0,16.0,3.0,2.0,6.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,23.0,3.0,0.0,0.0
6075012502,2297,4101,2465,1636,3900,3719,1092,50.6,21.2,834,28.6,1046,7.3,266,3.4,126,45.3,22.7,32.0,50.1,28.7,0.0,0.0,2229,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0
6075012601,1702,2334,1221,1113,2142,2142,247,34.2,33.9,729,12.0,250,55.0,1151,28.5,597,2.0,2.4,95.6,32.0,33.2,0.0,88295.0,1503,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6075012602,1833,2943,1300,1643,2515,2515,237,35.5,39.6,1001,14.2,346,47.2,1149,35.7,869,4.5,1.1,94.4,31.6,29.3,0.0,100022.0,1712,1.0,41.0,5.0,4.0,0.0,26.0,5.0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,16.0,0.0,11.0,0.0,0.0,15.0,0.0,8.0,0.0
6075012700,2306,3760,1710,2050,3294,3244,527,38.0,39.4,1338,12.7,407,51.7,1658,24.6,790,5.4,1.4,93.2,34.4,36.0,0.0,0.0,2105,1.0,30.0,0.0,1.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
